Model,Error_Type,n_estimators,learning_rate,max_depth,colsample_bytree,R²,RMSE,MAE
XGBoost,Validation,300,0.01,10,1.0,0.5884073191849662,0.558181957522371,0.41944704230353197
XGBoost,Validation,100,0.3,15,1.0,0.5881784223549715,0.5583371453185382,0.4037722633451897
XGBoost,Validation,300,0.3,3,1.0,0.5880096342983988,0.5584515528586742,0.414627919884887
XGBoost,Validation,100,0.3,20,0.5,0.5876194243003128,0.5587159544365369,0.40630568561798397
XGBoost,Validation,300,0.3,20,0.5,0.5876194241418231,0.5587159545439021,0.4063056852533332
XGBoost,Validation,100,0.2,20,0.8,0.5866999548004572,0.5593384816255147,0.40066726594351526
XGBoost,Validation,300,0.2,20,0.8,0.586699954254058,0.5593384819952487,0.40066726420439
XGBoost,Validation,300,0.3,3,0.7,0.584803287250032,0.5606204374704944,0.42132868292358255
XGBoost,Validation,100,0.3,15,0.7,0.5818814363064784,0.5625895975713602,0.4059620700602702
XGBoost,Validation,100,0.3,6,1.0,0.5813888946519139,0.5629208639609042,0.41085136264805483
XGBoost,Validation,100,0.2,5,1.0,0.5788914471601951,0.56459756896705,0.4234808461850972
XGBoost,Validation,300,0.01,15,1.0,0.5783142226191609,0.5649843908056487,0.4145999946840148
XGBoost,Validation,300,0.3,3,0.5,0.5779184057481752,0.5652494909257774,0.42580970504400956
XGBoost,Validation,100,0.3,20,0.7,0.5778514394552852,0.565294329604128,0.40808498694054185
XGBoost,Validation,300,0.3,20,0.7,0.5778514391228444,0.5652943298267119,0.4080849879551313
XGBoost,Validation,100,0.2,5,0.5,0.5775016936459343,0.5655284514373106,0.42568013167479885
XGBoost,Validation,300,0.05,5,0.5,0.5766839868733967,0.5660754511569182,0.4289370259197646
XGBoost,Validation,100,0.3,5,0.5,0.576641490629538,0.5661038642997691,0.42277982060167235
XGBoost,Validation,100,0.1,6,0.7,0.5763302250178293,0.5663119341568368,0.42780114421941184
XGBoost,Validation,100,0.1,6,1.0,0.5759873849108963,0.5665410219903559,0.42717628800811147
XGBoost,Validation,100,0.05,7,0.7,0.5758435252906267,0.5666371222731088,0.43097748925855156
XGBoost,Validation,300,0.2,3,0.5,0.5731128037386335,0.5684582022894736,0.4292667492855921
XGBoost,Validation,100,0.2,20,1.0,0.5722521528882538,0.5690309504247012,0.41058652915459287
XGBoost,Validation,100,0.05,7,1.0,0.5718379039319885,0.569306420466346,0.4330867871403911
XGBoost,Validation,300,0.3,3,0.8,0.571222419192189,0.5697154636564938,0.4278275846931942
XGBoost,Validation,100,0.3,5,0.7,0.5711519961912543,0.5697622471488871,0.4214232934442307
XGBoost,Validation,300,0.05,5,1.0,0.5710500741138169,0.5698299493433592,0.4318115920419223
XGBoost,Validation,100,0.2,5,0.8,0.5710301249393996,0.5698431997301712,0.4264349429402881
XGBoost,Validation,100,0.05,7,0.5,0.5709842217783296,0.569873687773706,0.4342391256681671
XGBoost,Validation,100,0.3,20,0.8,0.5687415637784871,0.5713612390357121,0.41075132689695604
XGBoost,Validation,300,0.3,20,0.8,0.568741563508594,0.5713612392144988,0.41075132840078876
XGBoost,Validation,300,0.2,3,1.0,0.5666533435145823,0.5727428784144329,0.4332528121377794
XGBoost,Validation,300,0.3,15,0.8,0.5586161743262588,0.5780297351055874,0.4101540937644415
XGBoost,Validation,100,0.3,15,0.8,0.5586161739211468,0.5780297353708518,0.41015409423432325
XGBoost,Validation,100,0.3,20,1.0,0.5560433011543895,0.5797119855050156,0.4147782907100243
XGBoost,Validation,300,0.1,20,1.0,0.5532757996100928,0.581516059313497,0.4171278866706618
XGBoost,Validation,300,0.05,20,1.0,0.5507999810497617,0.5831252613198648,0.4150226112137004
XGBoost,Validation,100,0.1,5,1.0,0.5456119914153309,0.5864829670378857,0.4511956792771202
XGBoost,Validation,100,0.05,6,0.7,0.5439970572381173,0.5875242481846518,0.45228327462101997
XGBoost,Validation,100,0.05,6,1.0,0.5387039388446864,0.5909242952569196,0.45663003320458617
XGBoost,Validation,100,0.05,6,0.5,0.5383551820816012,0.5911476332862541,0.4568761913112536
XGBoost,Validation,300,0.01,7,0.8,0.5376227683384995,0.5916163844150114,0.4598378008146229
XGBoost,Validation,300,0.1,3,1.0,0.5372569916426211,0.5918503456604804,0.4557643581804631
XGBoost,Validation,300,0.01,7,0.7,0.5370649404382564,0.5919731500880886,0.4599632789165521
XGBoost,Validation,300,0.1,3,0.8,0.5320966008257003,0.5951412774828077,0.4599491961099798
XGBoost,Validation,100,0.3,3,0.7,0.5250163023274232,0.5996271998896213,0.4588577264215535
XGBoost,Validation,100,0.3,3,0.5,0.5249943986195383,0.5996410255300336,0.46050821017356214
XGBoost,Validation,100,0.05,5,0.5,0.5099185037645176,0.6090825053351637,0.4766838586725498
XGBoost,Validation,100,0.05,5,0.7,0.5098261581363691,0.6091398870743538,0.47576737033426947
XGBoost,Validation,100,0.05,5,1.0,0.5085200777417689,0.6099508813957605,0.4752018185205114
XGBoost,Validation,100,0.2,3,0.8,0.5076929270266888,0.6104639330877372,0.4766339927868019
XGBoost,Validation,100,0.2,3,0.5,0.5076678624713635,0.6104794729947555,0.4768025738990083
XGBoost,Validation,100,0.05,5,0.8,0.5039135068236817,0.6128027056709805,0.4772326486299226
XGBoost,Validation,100,0.2,3,0.7,0.5036334350783271,0.61297566392398,0.47869598993028406
XGBoost,Validation,300,0.01,6,0.5,0.5028565717529305,0.6134551604971484,0.482634489347942
XGBoost,Validation,300,0.01,6,0.8,0.5015980502885995,0.6142311523442667,0.48310351348469277
XGBoost,Validation,300,0.01,6,0.7,0.5015625080460857,0.6142530531046817,0.48309917390608725
XGBoost,Validation,100,0.01,20,0.7,0.5011650589402338,0.6144979039460463,0.49890900464250965
XGBoost,Validation,100,0.01,20,0.5,0.5002904184062311,0.615036388065488,0.5000038460154116
XGBoost,Validation,100,0.01,15,0.7,0.49905347318050997,0.6157971260491655,0.49927368053879984
XGBoost,Validation,100,0.2,3,1.0,0.49869243062347,0.6160189949635703,0.48101750408691313
XGBoost,Validation,100,0.01,20,0.8,0.49622008824224473,0.6175361640507503,0.5001831124003777
XGBoost,Validation,300,0.05,3,0.7,0.4797773156609426,0.6275330674339723,0.49344620292093105
XGBoost,Validation,300,0.05,3,1.0,0.4796242956453939,0.6276253529708958,0.49414985907573533
XGBoost,Validation,300,0.05,3,0.8,0.4792321201977484,0.6278618099135669,0.4939998179483549
XGBoost,Validation,300,0.05,3,0.5,0.4767504224181546,0.6293560565725004,0.4956573186771671
XGBoost,Validation,300,0.01,5,1.0,0.4681234679196824,0.6345230264125488,0.5047459138239115
XGBoost,Validation,100,0.01,15,1.0,0.4678722425977393,0.6346728632851977,0.5114804504922942
XGBoost,Validation,300,0.01,5,0.5,0.4678451165913273,0.6346890397771402,0.5052696478729019
XGBoost,Validation,100,0.01,10,0.7,0.4626253983840708,0.637794163754312,0.5212282979495577
XGBoost,Validation,100,0.01,10,0.8,0.4603545502923472,0.639140344594085,0.5223910270175186
XGBoost,Validation,100,0.1,3,0.7,0.46003754407589226,0.639328043495319,0.5076196054121519
XGBoost,Validation,100,0.1,3,1.0,0.4588052333991398,0.6400571699060625,0.5081266731648287
XGBoost,Validation,100,0.01,10,0.5,0.45791518088836325,0.6405832748242368,0.5242325126648526
XGBoost,Validation,100,0.1,3,0.8,0.4563262914667944,0.64152138563392,0.5096312778688977
XGBoost,Validation,100,0.1,3,0.5,0.45368704852271213,0.6430766208116903,0.5104032065872889
XGBoost,Validation,100,0.01,10,1.0,0.45359425656729246,0.6431312321872104,0.5249680674742501
XGBoost,Validation,100,0.01,20,1.0,0.44356655075857476,0.64900581393564,0.5181970618185177
XGBoost,Validation,100,0.01,7,0.8,0.39374141307560684,0.6774401370743725,0.5596545498363922
XGBoost,Validation,100,0.01,7,0.7,0.39259852687395824,0.6780783733466539,0.5605369206126004
XGBoost,Validation,100,0.01,7,1.0,0.39209214264941716,0.6783609678666355,0.5605953910714119
XGBoost,Validation,300,0.01,3,1.0,0.37347010120216695,0.6886727094472196,0.5629923337077807
XGBoost,Validation,300,0.01,3,0.8,0.3719380333133697,0.6895142088892373,0.5637800943656847
XGBoost,Validation,300,0.01,3,0.7,0.3708972253332037,0.6900852949099484,0.5642400021766248
XGBoost,Validation,300,0.01,3,0.5,0.36880170835534354,0.6912336631079675,0.565264911425121
XGBoost,Validation,100,0.01,6,1.0,0.36053161288064883,0.6957472725487698,0.5780720449552508
XGBoost,Validation,100,0.01,6,0.7,0.3591227657829006,0.6965132699426193,0.5790170148394259
XGBoost,Validation,100,0.01,6,0.8,0.35904980000310227,0.6965529188681089,0.5790584178067695
XGBoost,Validation,100,0.01,6,0.5,0.3577667422976729,0.6972497520812688,0.5796679752716342
XGBoost,Validation,100,0.01,5,1.0,0.327862014185064,0.7132983063912613,0.5950370282370807
XGBoost,Validation,100,0.01,5,0.8,0.32583236961008977,0.7143744624667087,0.5963300717987108
XGBoost,Validation,100,0.01,5,0.5,0.3234554800909847,0.7156326771103372,0.5973737893423791
XGBoost,Validation,100,0.01,3,0.8,0.25033310395107844,0.7533141749918446,0.633771489248535
XGBoost,Validation,100,0.01,3,0.7,0.24886050959541817,0.754053691416575,0.6342332046458656
XGBoost,Train,300,0.3,20,0.5,0.9987726952742864,0.03009201568591534,0.0023166279360594356
XGBoost,Train,100,0.3,20,0.5,0.9987726952540722,0.030092015933728556,0.002316636035378482
XGBoost,Train,300,0.2,20,0.5,0.9987726950649217,0.03009201825259892,0.002314027777963656
XGBoost,Train,100,0.2,20,0.5,0.9987726949844937,0.030092019238596276,0.002314061511448588
XGBoost,Train,300,0.3,20,0.7,0.9987726934201564,0.030092038416411036,0.0023124439248035466
XGBoost,Train,100,0.3,20,0.7,0.99877269340405,0.030092038613865946,0.0023124509811793354
XGBoost,Train,300,0.2,20,0.7,0.9987726920831246,0.03009205480758835,0.0023138874318113763
XGBoost,Train,100,0.3,20,1.0,0.9987726914218196,0.030092062914773045,0.0023066501946709408
XGBoost,Train,300,0.1,20,1.0,0.9987726766897169,0.030092243520547245,0.0023206637229442858
XGBoost,Train,300,0.1,20,0.5,0.9987726584631201,0.03009246696499258,0.0023308359293114935
XGBoost,Train,300,0.05,20,1.0,0.9987726203417749,0.030092934298810436,0.0023386473140288903
XGBoost,Train,300,0.2,20,0.8,0.9987726133453741,0.030093020067678285,0.00234215031717347
XGBoost,Train,100,0.2,20,0.8,0.9987726132577718,0.030093021141595285,0.002342184613090461
XGBoost,Train,300,0.3,20,0.8,0.9987725856122639,0.030093360045437847,0.0023444204080393816
XGBoost,Train,100,0.3,20,0.8,0.9987725855888901,0.03009336033197248,0.0023444292220722684
XGBoost,Train,100,0.2,20,1.0,0.998772583627547,0.03009338437576116,0.0023495641206771377
XGBoost,Train,100,0.3,15,1.0,0.9987722259694453,0.03009776852730649,0.002475744929882636
XGBoost,Train,100,0.3,15,0.8,0.998772214687977,0.03009790680447933,0.0024873850902359666
XGBoost,Train,300,0.3,15,0.8,0.9987722146620057,0.030097907122808017,0.00248739503567288
XGBoost,Train,100,0.3,15,0.7,0.9987721783837167,0.03009835178217746,0.0025001774512570032
XGBoost,Train,300,0.3,15,0.5,0.9987721479199739,0.030098725168159503,0.002505414509035594
XGBoost,Train,100,0.3,15,0.5,0.9987721478963508,0.030098725457699337,0.002505422959948256
XGBoost,Train,300,0.2,15,0.5,0.9987719813681631,0.030100766467463378,0.002553466956396712
