Model,Error_Type,alpha,R²,RMSE,MAE
Ridge,Train,6.75,0.32783981142858365,0.704225050015913,0.5720030065587738
Ridge,Validation,6.75,0.3235764551764234,0.7155686919680551,0.5865976158085269
Ridge,Train,5.34,0.3278905750954425,0.7041984568604149,0.5719239754731272
Ridge,Validation,5.34,0.3236157098242882,0.7155479284946524,0.5865571105571655
Ridge,Train,3.09,0.3279557100435656,0.7041643336658951,0.5717958048883006
Ridge,Validation,3.09,0.3236580949075687,0.7155255085226597,0.5864959950746157
Ridge,Train,4.7,0.3279113380772479,0.7041875796340823,0.5718873016284255
Ridge,Validation,4.7,0.3236305941765538,0.7155400553623379,0.5865388549990164
Ridge,Train,6.59,0.3278458819900584,0.7042218699323679,0.571994023687317
Ridge,Validation,6.59,0.3235813128655267,0.7155661225598012,0.5865928623426164
Ridge,Train,0.32,0.3279953868366051,0.7041435467956438,0.5716424218696081
Ridge,Validation,0.32,0.3236600232826139,0.7155244884745835,0.5864419522862616
Ridge,Train,0.63,0.32799394112992075,0.7041443042193765,0.5716587806600938
Ridge,Validation,0.63,0.323663464094854,0.715522668392499,0.5864470602739622
Ridge,Train,4.91,0.3279046998513465,0.7041910572590988,0.5718994072335253
Ridge,Validation,4.91,0.3236259330959531,0.7155425208672057,0.586544871317831
Ridge,Train,8.68,0.3277614248904567,0.704266111771261,0.5721102831579686
Ridge,Validation,8.68,0.3235110228575455,0.7156033005997001,0.5866591612040305
Ridge,Train,4.12,0.32792871771109655,0.7041784747331157,0.5718540585412935
Ridge,Validation,4.12,0.3236422564848844,0.7155338864813621,0.5865222501661288
Ridge,Train,4.37,0.3279214040873215,0.7041823062332552,0.5718684224535836
Ridge,Validation,4.37,0.32363745443080505,0.7155364265767129,0.5865293485987155
Ridge,Train,7.03,0.32782901514080964,0.7042307056512043,0.5720187863033545
Ridge,Validation,7.03,0.3235677273852233,0.715573308390735,0.5866067298610249
Ridge,Train,1.11,0.32799000861900796,0.7041463645066856,0.5716845132695474
Ridge,Validation,1.11,0.3236667353839979,0.7155209379785383,0.586455496384993
Ridge,Train,5.03,0.32790082856665115,0.7041930853346829,0.571906318642416
Ridge,Validation,5.03,0.323623170210524,0.7155439823070233,0.5865482976852315
Ridge,Train,7.3,0.327818404534406,0.704236263973056,0.5720339276421614
Ridge,Validation,7.3,0.3235590478280369,0.7155778992712853,0.5866154572856018
Ridge,Train,4.55,0.3279159701361918,0.7041851529869885,0.5718786460786476
Ridge,Validation,4.55,0.32363378425856903,0.71553836794557,0.5865345418392764
Ridge,Train,0.76,0.3279930730510069,0.7041447590163366,0.5716657412435737
Ridge,Validation,0.76,0.3236645895217515,0.7155220730758564,0.5864493324721913
Ridge,Train,0.8300000000000001,0.32799254382533405,0.7041450362838731,0.5716695058677879
Ridge,Validation,0.8300000000000001,0.3236651204607507,0.7155217922250816,0.5864505599463893
Ridge,Train,3.3,0.32795064510319016,0.704166987169316,0.5718077127764396
Ridge,Validation,3.3,0.3236554141912955,0.7155269265325152,0.5865005869080957
Ridge,Train,6.2299999999999995,0.3278592656306747,0.7042148588175906,0.5719738131224145
Ridge,Validation,6.2299999999999995,0.3235918831409388,0.7155605315252213,0.5865824435505373
Ridge,Train,9.89,0.3277082446508388,0.7042939681761705,0.5721765548098495
Ridge,Validation,9.89,0.3234645427255557,0.7156278839748019,0.5866965512725134
Ridge,Train,0.68,0.3279936250974458,0.7041444697926165,0.5716614635763174
Ridge,Validation,0.68,0.3236639186145095,0.7155224279654674,0.5864479330408384
Ridge,Train,9.6,0.32772123021417054,0.7042871662943845,0.5721608205084551
Ridge,Validation,9.6,0.3234760137814431,0.7156218170036176,0.5866876047384816
Ridge,Train,2.82,0.3279618640541485,0.7041611095891886,0.5717803277980622
Ridge,Validation,2.82,0.3236610958427947,0.7155239211242823,0.586490097963648
Ridge,Train,6.4,0.3278529940249937,0.7042181442512662,0.571983331371243
Ridge,Validation,6.4,0.3235869548103887,0.7155631383186027,0.5865873741018557
Ridge,Train,6.49,0.3278496384607992,0.7042199020856533,0.5719883841088933
Ridge,Validation,6.49,0.32358429967484903,0.715564542723255,0.5865899767283576
Ridge,Train,6.0,0.3278676078902466,0.7042104886306083,0.5719609606452415
Ridge,Validation,6.0,0.32359836515527773,0.7155571029111772,0.5865757724581011
Ridge,Train,5.62,0.3278810138303724,0.7042034657205151,0.571939684332356
Ridge,Validation,5.62,0.32360858655451896,0.7155516963434788,0.5865650230922484
Ridge,Train,9.87,0.32770914474298574,0.7042934967069928,0.5721754758214366
Ridge,Validation,9.87,0.32346534015275985,0.7156274622221025,0.586695936297642
Ridge,Train,3.33,0.3279499022889212,0.7041673763261074,0.5718094024214231
Ridge,Validation,3.33,0.32365500721928264,0.7155271418069447,0.5865012432087956
Ridge,Train,3.9099999999999997,0.3279346428429909,0.7041753706282046,0.5718418429317856
Ridge,Validation,3.9099999999999997,0.32364601483473554,0.7155318984576886,0.5865163349795005
Ridge,Train,6.12,0.3278632762422512,0.7042127578167632,0.571967660185889
Ridge,Validation,6.12,0.32359501028279414,0.7155588774484748,0.58657924305273
Ridge,Train,5.4399999999999995,0.32788719225369034,0.7042002290338557,0.5719296114965041
Ridge,Validation,5.4399999999999995,0.3236132067921349,0.7155492524741129,0.5865599416144953
Ridge,Train,3.02,0.3279573449025994,0.7041634771671945,0.5717918039811657
Ridge,Validation,3.02,0.3236589218874564,0.7155250710772042,0.5864944654224256
Ridge,Train,4.6499999999999995,0.32791289239979915,0.704186765355156,0.5718844086121208
Ridge,Validation,4.6499999999999995,0.32363167062106324,0.7155394859697368,0.5865374187443899
Ridge,Train,5.18,0.3278959119611876,0.7041956610209702,0.5719148975350821
Ridge,Validation,5.18,0.32361961762131586,0.7155458614595753,0.5865525689057715
Ridge,Train,6.2,0.3278603631776261,0.7042142838567622,0.5719721252093005
Ridge,Validation,6.2,0.3235927408631528,0.7155600778402768,0.5865815714798821
Ridge,Train,4.41,0.3279202084916064,0.7041829325863177,0.5718707028504335
Ridge,Validation,4.41,0.3236366539718438,0.7155368499867458,0.5865305043011546
Ridge,Train,1.02,0.327990895179573,0.7041459000280226,0.5716796772583405
Ridge,Validation,1.02,0.3236663035582087,0.7155211664016846,0.5864539051645083
Ridge,Train,8.13,0.3277846510220831,0.7042539453177808,0.5720796059392983
Ridge,Validation,8.13,0.3235308571101295,0.7155928099922172,0.5866419201650597
Ridge,Train,7.1899999999999995,0.3278227504670368,0.7042339873797017,0.5720277714547009
Ridge,Validation,7.1899999999999995,0.3235626144601019,0.7155760127751791,0.5866119088506418
Ridge,Train,1.18,0.327989273258782,0.7041467497696241,0.5716882561873773
Ridge,Validation,1.18,0.32366701541121023,0.7155207898523372,0.5864567368479661
Ridge,Train,8.74,0.327758852990482,0.7042674589866169,0.5721136222142347
Ridge,Validation,8.74,0.323508807423464,0.7156044723635401,0.5866610282284308
Ridge,Train,6.71,0.32784133592735165,0.704224251403582,0.5720007552022504
Ridge,Validation,6.71,0.32357767858533826,0.7155680448635009,0.5865963165120056
Ridge,Train,6.67,0.32784285587517237,0.7042234551743741,0.5719985157006581
Ridge,Validation,6.67,0.3235788960283984,0.7155674009139189,0.5865951661580973
Ridge,Train,7.88,0.32779498946125574,0.7042485297061161,0.5720658984460342
Ridge,Validation,7.88,0.3235395776768688,0.7155881975165153,0.5866340065712174
Ridge,Train,5.6499999999999995,0.3278799731344856,0.7042040109077375,0.5719413542285058
Ridge,Validation,5.6499999999999995,0.3236078024087913,0.7155521111156299,0.5865658682077672
Ridge,Train,7.39,0.3278148256396638,0.7042381387522263,0.5720389407843814
Ridge,Validation,7.39,0.32355609904174365,0.7155794589669209,0.5866183532562675
Ridge,Train,8.87,0.3277532558657573,0.7042703908694836,0.5721208267337494
Ridge,Validation,8.87,0.3235039736997031,0.7156070289586595,0.5866650642553914
Ridge,Train,2.21,0.32797417560367015,0.7041546595429685,0.571745177864298
Ridge,Validation,2.21,0.3236659025162192,0.7155213785410406,0.5864772961251886
Ridge,Train,9.0,0.32774762558137305,0.7042733401097113,0.5721279904335189
Ridge,Validation,9.0,0.3234990946990609,0.7156096094918207,0.5866690877796346
Ridge,Train,9.46,0.3277274473537657,0.7042839097124812,0.5721531554585139
Ridge,Validation,9.46,0.32348147965333063,0.7156189261193681,0.5866832629327621
Ridge,Train,2.34,0.32797174609129065,0.7041559323742007,0.5717525825589261
Ridge,Validation,2.34,0.3236651182574247,0.715521793390575,0.5864799502024577
Ridge,Train,4.24,0.3279252417108526,0.7041802957612191,0.5718609773377845
Ridge,Validation,4.24,0.32363999512988106,0.7155350826492165,0.5865256206830358
Ridge,Train,3.48,0.3279461177947285,0.7041693590009138,0.571817808193046
Ridge,Validation,3.48,0.3236528843811731,0.7155282647154524,0.5865045258020333
Ridge,Train,8.48,0.32776994478087473,0.7042616488548712,0.5720991485847102
Ridge,Validation,8.48,0.3235183354762077,0.7155994328735663,0.586652918291611
Ridge,Train,9.03,0.32774632165267825,0.7042740231283267,0.5721296378456052
Ridge,Validation,9.03,0.32349796243786255,0.7156102083503355,0.5866700145194906
Ridge,Train,4.09,0.3279295765743474,0.704178024785898,0.5718523218168325
Ridge,Validation,4.09,0.32364280903424514,0.7155335942041787,0.5865214064468696
Ridge,Train,4.26,0.32792465613609423,0.7041806025352138,0.5718621261250275
Ridge,Validation,4.26,0.3236396103568757,0.7155352861788036,0.58652618175749
Ridge,Train,7.4799999999999995,0.32781122627146564,0.7042400242512404,0.5720439327487763
Ridge,Validation,7.4799999999999995,0.32355312309565876,0.7155810330246839,0.5866212426990327
Ridge,Train,0.98,0.32799126763905184,0.7041457048923843,0.5716775192965902
Ridge,Validation,0.98,0.3236660853660469,0.7155212818188953,0.5864531993049846
Ridge,Train,3.21,0.32795284489009124,0.7041658347103702,0.5718026266937605
Ridge,Validation,3.21,0.32365659934698654,0.7155262996248719,0.586498618476801
Ridge,Train,4.38,0.3279211058352164,0.7041824624827127,0.571868993009754
Ridge,Validation,4.38,0.32363725513472297,0.7155365319962078,0.5865296376127855
Ridge,Train,8.76,0.32775799408216033,0.7042679089003053,0.5721147332769225
Ridge,Validation,8.76,0.3235080667559287,0.7156048641091101,0.5866616499731754
Ridge,Train,6.82,0.3278371327001487,0.7042264532720256,0.5720069549574983
Ridge,Validation,6.82,0.3235742999681266,0.7155698319330704,0.5865999004294659
Ridge,Train,2.6199999999999997,0.32796615126691253,0.7041588635162724,0.5717688019096933
Ridge,Validation,2.6199999999999997,0.3236629819255247,0.7155229234452763,0.586485735421102
Ridge,Train,3.84,0.32793657211490745,0.7041743599030366,0.5718378291968415
Ridge,Validation,3.84,0.3236472100139197,0.7155312662523441,0.5865143585075838
Ridge,Train,1.57,0.3279844695873787,0.7041492664582917,0.5717093307500366
Ridge,Validation,1.57,0.3236677127401125,0.71552042098562,0.5864643027428643
Ridge,Train,7.04,0.32782862559659676,0.704230909713089,0.5720193470968391
Ridge,Validation,7.04,0.3235674104635007,0.7155734760207464,0.5866070541631297
Ridge,Train,4.86,0.3279062963040815,0.7041902209131173,0.571896514673379
Ridge,Validation,4.86,0.3236270631511492,0.7155419231189174,0.5865434411936836
Ridge,Train,0.6900000000000001,0.3279935592011166,0.7041445043164963,0.5716619991631825
Ridge,Validation,0.6900000000000001,0.323664006253612,0.7155223816070465,0.5864481077687825
Ridge,Train,0.9400000000000001,0.327991626668496,0.7041455167928383,0.571675388664402
Ridge,Validation,0.9400000000000001,0.3236658508247191,0.7155214058843113,0.586452494290715
Ridge,Train,8.52,0.32776824742133315,0.7042625379734591,0.5721013668570295
Ridge,Validation,8.52,0.32351688193187367,0.715600201671153,0.5866541692839466
Ridge,Train,0.88,0.3279921397841551,0.7041452479657119,0.5716721848480313
Ridge,Validation,0.88,0.3236654680709332,0.7155216083496818,0.5864514383772818
Ridge,Train,0.9600000000000001,0.3279914488395549,0.704145609959418,0.5716764539602686
Ridge,Validation,0.9600000000000001,0.32366597014719034,0.7155213427662606,0.5864528466915361
Ridge,Train,4.43,0.3279196081143868,0.7041832471139244,0.5718718412241736
Ridge,Validation,4.43,0.3236362504770375,0.7155370634188909,0.5865310817986752
Ridge,Train,0.99,0.3279911757788645,0.7041457530189569,0.571678059286954
Ridge,Validation,0.99,0.32366614144173045,0.7155212521565163,0.5864533756910326
Ridge,Train,7.63,0.3278051826826537,0.7042431901234859,0.5720522060930935
Ridge,Validation,7.63,0.32354810384587385,0.7155836878327747,0.5866260440233031
Ridge,Train,7.57,0.3278076067453949,0.7042419203046976,0.5720489037070678
Ridge,Validation,7.57,0.32355012036466935,0.7155826212461927,0.5866241256480909
Ridge,Train,3.82,0.32793711905281586,0.7041740733677827,0.5718366987115773
Ridge,Validation,3.82,0.32364754611087354,0.715531088469453,0.5865137933660404
Ridge,Train,8.32,0.3277767004427292,0.704258110062256,0.5720902356988661
Ridge,Validation,8.32,0.32352410394015396,0.7155963818534538,0.5866479021895156
Ridge,Train,9.81,0.3277118410350214,0.7042920843846066,0.5721722334335451
Ridge,Validation,9.81,0.32346772687399405,0.715626199903357,0.5866940895783973
Ridge,Train,5.7,0.32787823179057496,0.7042049231410612,0.5719441317795386
Ridge,Validation,5.7,0.32360648666921654,0.7155528070726322,0.5865672755954922
Ridge,Train,0.62,0.3279940016332318,0.7041442725209548,0.5716582430776088
Ridge,Validation,0.62,0.32366336991059996,0.715522718213086,0.586446885896409
Ridge,Train,9.96,0.3277050891427715,0.7042956210319975,0.5721803241811952
Ridge,Validation,9.96,0.32346174448527376,0.7156293639391407,0.586698701336156
Ridge,Train,5.76,0.327876130967763,0.7042060236920928,0.5719474556275705
Ridge,Validation,5.76,0.32360489332258,0.7155536498682566,0.586568962585604
Ridge,Train,8.65,0.32776270810940766,0.7042654395931935,0.5721086103185821
Ridge,Validation,8.65,0.3235121268594907,0.7156027166820127,0.5866582266827411
Ridge,Train,3.38,0.3279486537659879,0.7041680304207298,0.5718122121843441
Ridge,Validation,3.38,0.32365431582147164,0.7155275075328525,0.5865023372094723
Ridge,Train,6.87,0.32783521094210255,0.7042274599862844,0.572009776960048
Ridge,Validation,6.87,0.32357274952817294,0.715570652013843,0.5866015298007735
Ridge,Train,1.26,0.32798838456984203,0.7041472153628036,0.5716925142571609
Ridge,Validation,1.26,0.3236672765558303,0.7155206517144472,0.5864581574949349
Ridge,Train,4.21,0.3279261167479791,0.7041798373419021,0.5718592518362591
Ridge,Validation,4.21,0.32364056808948527,0.7155347795763103,0.5865247787079156
Ridge,Train,3.63,0.32794221835061843,0.7041714018914833,0.5718261583885274
Ridge,Validation,3.63,0.3236506177451395,0.7155294636861818,0.5865084148806883
Ridge,Train,8.73,0.32775928214393524,0.7042672341871817,0.5721130663166515
Ridge,Validation,8.73,0.3235091773477208,0.7156042767072686,0.5866607172442798
Ridge,Train,7.6899999999999995,0.32780274988955194,0.7042444645132764,0.5720555008503982
Ridge,Validation,7.6899999999999995,0.3235460756944992,0.7155847605705116,0.5866279595375431
Ridge,Train,4.34,0.32792229624518454,0.7041818388459631,0.5718667089528193
Ridge,Validation,4.34,0.32363804903132887,0.7155361120572068,0.5865284812024653
Ridge,Train,8.9,0.32775195948590263,0.7042710699367418,0.5721224835018479
Ridge,Validation,8.9,0.3235028517632764,0.715607622358494,0.5866659938673091
Ridge,Train,0.53,0.3279945051816856,0.7041440087057307,0.5716534452319261
Ridge,Validation,0.53,0.3236624725443079,0.715523192892208,0.5864453191764671
Ridge,Train,2.9499999999999997,0.3279589524299795,0.7041626349864654,0.5717877870651236
Ridge,Validation,2.9499999999999997,0.32365971486504685,0.7155246516176065,0.5864929362935279
Ridge,Train,6.15,0.3278621861939147,0.704213328850607,0.5719693288674422
Ridge,Validation,6.15,0.32359416230429416,0.7155593259803178,0.5865801167086933
Ridge,Train,3.1999999999999997,0.3279530866354896,0.7041657080608752,0.5718020599782088
Ridge,Validation,3.1999999999999997,0.32365672769404075,0.7155262317335485,0.5864983998073916
Ridge,Train,3.61,0.3279427448013724,0.7041711260880865,0.5718250481476748
Ridge,Validation,3.61,0.32365092813510343,0.715529299500928,0.5865078477103188
Ridge,Train,1.07,0.32799041088932246,0.7041461537529576,0.5716823672358807
Ridge,Validation,1.07,0.3236665535049672,0.715521034187207,0.5864547886616557
Ridge,Train,5.92,0.3278704699351518,0.7042089893097822,0.5719564720651341
Ridge,Validation,5.92,0.32360056840171514,0.7155559375163583,0.5865734857202853
Ridge,Train,5.2,0.32789525002063735,0.7041960077943025,0.5719160363683465
Ridge,Validation,5.2,0.323619135766009,0.7155461163379826,0.5865531374190882
Ridge,Train,2.1799999999999997,0.3279747206803003,0.7041543739748305,0.5717434727889599
Ridge,Validation,2.1799999999999997,0.32366606428604094,0.715521292969595,0.5864766843001541
Ridge,Train,1.59,0.32798419199079576,0.7041494118934798,0.5717104590907787
Ridge,Validation,1.59,0.32366771027856067,0.7155204222877096,0.586464706770846
Ridge,Train,6.7299999999999995,0.3278405742448509,0.7042246504128975,0.5720018759866965
Ridge,Validation,6.7299999999999995,0.3235770676242622,0.7155683680226502,0.5865969623073899
Ridge,Train,4.9399999999999995,0.32790373727206834,0.7041915615324338,0.5719011391427397
Ridge,Validation,4.9399999999999995,0.3236252490619175,0.7155428826901514,0.5865457286940273
Ridge,Train,2.3,0.32797250522628973,0.704155534660592,0.5717503026279962
Ridge,Validation,2.3,0.3236653738699484,0.7155216581791928,0.5864791330803028
Ridge,Train,9.25,0.32773670755738105,0.7042790591240999,0.572141653690938
Ridge,Validation,9.25,0.32348958791616,0.7156146376604788,0.5866767905250663
Ridge,Train,3.59,0.32794326925837425,0.7041708513290933,0.5718239366800788
Ridge,Validation,3.59,0.3236512360269248,0.7155291366370656,0.5865072803469705
